gst_id,order_id,payment_id,settlement_date,taxable_fee_amount,gst_rate,cgst_amount,sgst_amount,igst_amount,total_gst_amount
GST70235,ORD10235,PAY70235,2026-04-08,147.1,0.18,0.0,0.0,26.48,26.48
GST70237,ORD10237,PAY70237,2026-04-08,235.31,0.18,0.0,0.0,42.36,42.36
GST70238,ORD10238,PAY70238,2026-04-08,90.37,0.18,0.0,0.0,16.27,16.27
GST70239,ORD10239,PAY70239,2026-04-06,42.5,0.18,0.0,0.0,7.65,7.65
GST70240,ORD10240,PAY70240,2026-04-06,18.05,0.18,1.62,1.62,0.0,3.25
GST70241,ORD10241,PAY70241,2026-04-06,67.24,0.18,6.05,6.05,0.0,12.1
GST70242,ORD10242,PAY70242,2026-04-08,498.95,0.18,0.0,0.0,89.81,89.81
GST70243,ORD10243,PAY70243,2026-04-08,294.27,0.18,0.0,0.0,52.97,52.97
GST70244,ORD10244,PAY70244,2026-04-08,61.66,0.18,0.0,0.0,11.1,11.1
GST70245,ORD10245,PAY70245,2026-04-08,230.2,0.18,0.0,0.0,41.44,41.44
GST70246,ORD10246,PAY70246,2026-04-08,190.94,0.18,0.0,0.0,34.37,34.37
GST70247,ORD10247,PAY70247,2026-04-08,103.51,0.18,0.0,0.0,18.63,18.63
GST70248,ORD10248,PAY70248,2026-04-08,360.79,0.18,0.0,0.0,64.94,64.94
GST70249,ORD10249,PAY70249,2026-04-08,431.37,0.18,0.0,0.0,77.65,77.65
GST70250,ORD10250,PAY70250,2026-04-07,152.19,0.18,0.0,0.0,27.39,27.39
GST70251,ORD10251,PAY70251,2026-04-07,106.59,0.18,0.0,0.0,19.19,19.19
GST70252,ORD10252,PAY70252,2026-04-07,188.11,0.18,0.0,0.0,33.86,33.86
GST70253,ORD10253,PAY70253,2026-04-07,106.48,0.18,0.0,0.0,19.17,19.17
GST70254,ORD10254,PAY70254,2026-04-07,35.5,0.18,0.0,0.0,6.39,6.39
GST70255,ORD10255,PAY70255,2026-04-07,186.11,0.18,0.0,0.0,33.5,33.5
GST70256,ORD10256,PAY70256,2026-04-07,165.37,0.18,0.0,0.0,29.77,29.77
GST70257,ORD10257,PAY70257,2026-04-07,111.72,0.18,0.0,0.0,20.11,20.11
GST70258,ORD10258,PAY70258,2026-04-07,172.08,0.18,0.0,0.0,30.97,30.97
GST70259,ORD10259,PAY70259,2026-04-07,177.09,0.18,0.0,0.0,31.88,31.88
GST70260,ORD10260,PAY70260,2026-04-07,99.62,0.18,0.0,0.0,17.93,17.93
GST70261,ORD10261,PAY70261,2026-04-07,20.4,0.18,0.0,0.0,3.67,3.67
GST70262,ORD10262,PAY70262,2026-04-07,48.62,0.18,0.0,0.0,8.75,8.75
GST70263,ORD10263,PAY70263,2026-04-07,167.14,0.18,15.04,15.04,0.0,30.09
GST70264,ORD10264,PAY70264,2026-04-07,159.65,0.18,0.0,0.0,28.74,28.74
GST70265,ORD10265,PAY70265,2026-04-07,24.66,0.18,0.0,0.0,4.44,4.44
GST70266,ORD10266,PAY70266,2026-04-08,414.53,0.18,37.31,37.31,0.0,74.62
GST70267,ORD10267,PAY70267,2026-04-08,579.51,0.18,0.0,0.0,104.31,104.31
GST70268,ORD10268,PAY70268,2026-04-08,170.23,0.18,0.0,0.0,30.64,30.64
GST70269,ORD10269,PAY70269,2026-04-08,495.98,0.18,0.0,0.0,89.28,89.28
GST70270,ORD10270,PAY70270,2026-04-08,446.33,0.18,0.0,0.0,80.34,80.34
GST70271,ORD10271,PAY70271,2026-04-07,52.46,0.18,0.0,0.0,9.44,9.44
GST70272,ORD10272,PAY70272,2026-04-07,33.89,0.18,0.0,0.0,6.1,6.1
GST70273,ORD10273,PAY70273,2026-04-07,40.01,0.18,0.0,0.0,7.2,7.2
GST70274,ORD10274,PAY70274,2026-04-07,35.75,0.18,3.21,3.21,0.0,6.43
GST70275,ORD10275,PAY70275,2026-04-08,41.28,0.18,3.71,3.71,0.0,7.43
GST70276,ORD10276,PAY70276,2026-04-08,147.18,0.18,0.0,0.0,26.49,26.49
GST70277,ORD10277,PAY70277,2026-04-08,141.57,0.18,12.74,12.74,0.0,25.48
GST70278,ORD10278,PAY70278,2026-04-08,70.93,0.18,0.0,0.0,12.77,12.77
GST70280,ORD10280,PAY70280,2026-04-08,124.35,0.18,0.0,0.0,22.38,22.38
GST70281,ORD10281,PAY70281,2026-04-09,165.01,0.18,14.85,14.85,0.0,29.7
GST70282,ORD10282,PAY70282,2026-04-09,287.64,0.18,25.89,25.89,0.0,51.78
GST70283,ORD10283,PAY70283,2026-04-09,82.38,0.18,0.0,0.0,14.83,14.83
GST70284,ORD10284,PAY70284,2026-04-09,389.71,0.18,0.0,0.0,70.15,70.15
GST70285,ORD10285,PAY70285,2026-04-09,247.63,0.18,0.0,0.0,44.57,44.57
GST70286,ORD10286,PAY70286,2026-04-09,300.7,0.18,0.0,0.0,54.13,54.13
GST70287,ORD10287,PAY70287,2026-04-09,57.94,0.18,0.0,0.0,10.43,10.43
GST70288,ORD10288,PAY70288,2026-04-09,92.46,0.18,0.0,0.0,16.64,16.64
GST70289,ORD10289,PAY70289,2026-04-09,113.67,0.18,0.0,0.0,20.46,20.46
GST70290,ORD10290,PAY70290,2026-04-09,47.24,0.18,4.25,4.25,0.0,8.5
GST70291,ORD10291,PAY70291,2026-04-07,5.4,0.18,0.0,0.0,0.97,0.97
GST70292,ORD10292,PAY70292,2026-04-07,10.48,0.18,0.0,0.0,1.89,1.89
GST70293,ORD10293,PAY70293,2026-04-07,91.99,0.18,0.0,0.0,16.56,16.56
GST70294,ORD10294,PAY70294,2026-04-07,64.58,0.18,0.0,0.0,11.62,11.62
GST70295,ORD10295,PAY70295,2026-04-09,293.08,0.18,0.0,0.0,52.75,52.75
GST70296,ORD10296,PAY70296,2026-04-09,483.34,0.18,0.0,0.0,87.0,87.0
GST70297,ORD10297,PAY70297,2026-04-09,304.35,0.18,0.0,0.0,54.78,54.78
GST70298,ORD10298,PAY70298,2026-04-08,54.09,0.18,4.87,4.87,0.0,9.74
GST70299,ORD10299,PAY70299,2026-04-08,95.6,0.18,0.0,0.0,17.21,17.21
GST70300,ORD10300,PAY70300,2026-04-08,15.78,0.18,0.0,0.0,2.84,2.84
GST70301,ORD10301,PAY70301,2026-04-08,113.31,0.18,0.0,0.0,20.4,20.4
GST70302,ORD10302,PAY70302,2026-04-08,66.73,0.18,0.0,0.0,12.01,12.01
GST70303,ORD10303,PAY70303,2026-04-08,38.48,0.18,0.0,0.0,6.93,6.93
GST70304,ORD10304,PAY70304,2026-04-08,60.41,0.18,0.0,0.0,10.87,10.87
GST70305,ORD10305,PAY70305,2026-04-08,50.98,0.18,0.0,0.0,9.18,9.18
GST70306,ORD10306,PAY70306,2026-04-08,204.1,0.18,0.0,0.0,36.74,36.74
GST70307,ORD10307,PAY70307,2026-04-08,162.42,0.18,14.62,14.62,0.0,29.24
GST70308,ORD10308,PAY70308,2026-04-08,123.77,0.18,11.14,11.14,0.0,22.28
GST70309,ORD10309,PAY70309,2026-04-08,112.55,0.18,0.0,0.0,20.26,20.26
GST70310,ORD10310,PAY70310,2026-04-09,221.0,0.18,0.0,0.0,39.78,39.78
GST70311,ORD10311,PAY70311,2026-04-09,178.34,0.18,16.05,16.05,0.0,32.1
GST70312,ORD10312,PAY70312,2026-04-09,480.13,0.18,0.0,0.0,86.42,86.42
GST70313,ORD10313,PAY70313,2026-04-09,364.46,0.18,0.0,0.0,65.6,65.6
GST70314,ORD10314,PAY70314,2026-04-09,285.27,0.18,0.0,0.0,51.35,51.35
GST70316,ORD10316,PAY70316,2026-04-08,10.82,0.18,0.0,0.0,1.95,1.95
