fee_id,order_id,payment_id,settlement_date,platform_fee,gateway_fee,total_fee_before_gst,gst_on_fees,total_fee_with_gst
FEE70171,ORD10171,PAY70171,2026-04-06,94.24,35.34,129.58,23.32,152.9
FEE70172,ORD10172,PAY70172,2026-04-06,41.44,21.75,63.19,11.37,74.56
FEE70173,ORD10173,PAY70173,2026-04-07,99.82,65.51,165.33,29.76,195.09
FEE70174,ORD10174,PAY70174,2026-04-07,140.96,17.62,158.58,28.54,187.12
FEE70175,ORD10175,PAY70175,2026-04-07,175.13,21.89,197.02,35.46,232.48
FEE70176,ORD10176,PAY70176,2026-04-07,49.36,32.39,81.75,14.71,96.46
FEE70178,ORD10178,PAY70178,2026-04-07,263.39,32.92,296.31,53.34,349.65
FEE70179,ORD10179,PAY70179,2026-04-07,271.62,110.34,381.96,68.75,450.71
FEE70180,ORD10180,PAY70180,2026-04-07,168.57,110.62,279.19,50.25,329.44
FEE70181,ORD10181,PAY70181,2026-04-07,104.97,13.12,118.09,21.26,139.35
FEE70182,ORD10182,PAY70182,2026-04-07,38.57,18.08,56.65,10.2,66.85
FEE70183,ORD10183,PAY70183,2026-04-05,56.8,9.47,66.27,11.93,78.2
FEE70185,ORD10185,PAY70185,2026-04-05,51.92,8.65,60.57,10.9,71.47
FEE70186,ORD10186,PAY70186,2026-04-05,16.97,10.61,27.58,4.96,32.54
FEE70187,ORD10187,PAY70187,2026-04-05,69.69,11.62,81.31,14.64,95.95
FEE70188,ORD10188,PAY70188,2026-04-05,56.89,9.48,66.37,11.95,78.32
FEE70191,ORD10191,PAY70191,2026-04-07,277.91,132.64,410.55,73.9,484.45
FEE70193,ORD10193,PAY70193,2026-04-07,107.24,36.56,143.8,25.88,169.68
FEE70194,ORD10194,PAY70194,2026-04-07,287.0,136.98,423.98,76.32,500.3
FEE70195,ORD10195,PAY70195,2026-04-07,250.29,22.75,273.04,49.15,322.19
FEE70196,ORD10196,PAY70196,2026-04-07,330.76,30.07,360.83,64.95,425.78
FEE70197,ORD10197,PAY70197,2026-04-07,70.44,6.4,76.84,13.83,90.67
FEE70198,ORD10198,PAY70198,2026-04-06,131.19,50.16,181.35,32.64,213.99
FEE70199,ORD10199,PAY70199,2026-04-06,112.57,13.24,125.81,22.65,148.46
FEE70200,ORD10200,PAY70200,2026-04-06,166.43,102.8,269.23,48.46,317.69
FEE70201,ORD10201,PAY70201,2026-04-06,35.49,15.66,51.15,9.21,60.36
FEE70202,ORD10202,PAY70202,2026-04-06,20.97,2.47,23.44,4.22,27.66
FEE70203,ORD10203,PAY70203,2026-04-06,27.48,10.51,37.99,6.84,44.83
FEE70204,ORD10204,PAY70204,2026-04-06,167.63,103.54,271.17,48.81,319.98
FEE70205,ORD10205,PAY70205,2026-04-06,18.45,2.46,20.91,3.76,24.67
FEE70206,ORD10206,PAY70206,2026-04-06,116.09,81.27,197.36,35.52,232.88
FEE70207,ORD10207,PAY70207,2026-04-06,65.59,8.74,74.33,13.38,87.71
FEE70208,ORD10208,PAY70208,2026-04-06,49.03,34.32,83.35,15.0,98.35
FEE70209,ORD10209,PAY70209,2026-04-06,40.81,17.69,58.5,10.53,69.03
FEE70210,ORD10210,PAY70210,2026-04-07,282.04,164.52,446.56,80.38,526.94
FEE70211,ORD10211,PAY70211,2026-04-07,137.07,15.23,152.3,27.41,179.71
FEE70212,ORD10212,PAY70212,2026-04-07,138.76,15.42,154.18,27.75,181.93
FEE70213,ORD10213,PAY70213,2026-04-07,78.66,8.74,87.4,15.73,103.13
FEE70214,ORD10214,PAY70214,2026-04-06,47.43,35.57,83.0,14.94,97.94
FEE70215,ORD10215,PAY70215,2026-04-06,26.67,14.29,40.96,7.37,48.33
FEE70216,ORD10216,PAY70216,2026-04-06,2.53,1.9,4.43,0.8,5.23
FEE70217,ORD10217,PAY70217,2026-04-06,2.9,1.56,4.46,0.8,5.26
FEE70218,ORD10218,PAY70218,2026-04-06,40.33,5.76,46.09,8.3,54.39
FEE70219,ORD10219,PAY70219,2026-04-06,32.76,17.55,50.31,9.06,59.37
FEE70220,ORD10220,PAY70220,2026-04-06,5.98,3.2,9.18,1.65,10.83
FEE70221,ORD10221,PAY70221,2026-04-06,12.02,6.44,18.46,3.32,21.78
FEE70222,ORD10222,PAY70222,2026-04-07,137.14,72.0,209.14,37.65,246.79
FEE70223,ORD10223,PAY70223,2026-04-07,73.41,38.54,111.95,20.15,132.1
FEE70226,ORD10226,PAY70226,2026-04-07,21.82,11.46,33.28,5.99,39.27
FEE70227,ORD10227,PAY70227,2026-04-07,61.79,6.18,67.97,12.23,80.2
FEE70228,ORD10228,PAY70228,2026-04-07,84.65,44.44,129.09,23.24,152.33
FEE70229,ORD10229,PAY70229,2026-04-07,9.13,0.91,10.04,1.81,11.85
FEE70230,ORD10230,PAY70230,2026-04-08,83.14,10.39,93.53,16.84,110.37
FEE70231,ORD10231,PAY70231,2026-04-08,174.26,21.78,196.04,35.29,231.33
FEE70232,ORD10232,PAY70232,2026-04-08,131.25,16.41,147.66,26.58,174.24
FEE70233,ORD10233,PAY70233,2026-04-08,278.08,112.97,391.05,70.39,461.44
FEE70234,ORD10234,PAY70234,2026-04-08,110.19,44.77,154.96,27.89,182.85
FEE70235,ORD10235,PAY70235,2026-04-08,130.76,16.34,147.1,26.48,173.58
FEE70237,ORD10237,PAY70237,2026-04-08,160.21,75.1,235.31,42.36,277.67
FEE70238,ORD10238,PAY70238,2026-04-08,54.56,35.81,90.37,16.27,106.64
FEE70239,ORD10239,PAY70239,2026-04-06,36.43,6.07,42.5,7.65,50.15
FEE70240,ORD10240,PAY70240,2026-04-06,11.71,6.34,18.05,3.25,21.3
FEE70241,ORD10241,PAY70241,2026-04-06,35.86,31.38,67.24,12.1,79.34
FEE70242,ORD10242,PAY70242,2026-04-08,372.1,126.85,498.95,89.81,588.76
FEE70243,ORD10243,PAY70243,2026-04-08,269.75,24.52,294.27,52.97,347.24
FEE70244,ORD10244,PAY70244,2026-04-08,56.52,5.14,61.66,11.1,72.76
FEE70245,ORD10245,PAY70245,2026-04-08,211.02,19.18,230.2,41.44,271.64
FEE70246,ORD10246,PAY70246,2026-04-08,175.03,15.91,190.94,34.37,225.31
FEE70247,ORD10247,PAY70247,2026-04-08,94.88,8.63,103.51,18.63,122.14
FEE70248,ORD10248,PAY70248,2026-04-08,244.23,116.56,360.79,64.94,425.73
FEE70249,ORD10249,PAY70249,2026-04-08,332.99,98.38,431.37,77.65,509.02
FEE70250,ORD10250,PAY70250,2026-04-07,136.17,16.02,152.19,27.39,179.58
FEE70251,ORD10251,PAY70251,2026-04-07,95.37,11.22,106.59,19.19,125.78
FEE70252,ORD10252,PAY70252,2026-04-07,168.31,19.8,188.11,33.86,221.97
FEE70253,ORD10253,PAY70253,2026-04-07,77.03,29.45,106.48,19.17,125.65
FEE70254,ORD10254,PAY70254,2026-04-07,31.76,3.74,35.5,6.39,41.89
FEE70255,ORD10255,PAY70255,2026-04-07,166.52,19.59,186.11,33.5,219.61
FEE70256,ORD10256,PAY70256,2026-04-07,147.96,17.41,165.37,29.77,195.14
FEE70257,ORD10257,PAY70257,2026-04-07,99.96,11.76,111.72,20.11,131.83
FEE70258,ORD10258,PAY70258,2026-04-07,119.4,52.68,172.08,30.97,203.05
FEE70259,ORD10259,PAY70259,2026-04-07,109.47,67.62,177.09,31.88,208.97
FEE70260,ORD10260,PAY70260,2026-04-07,58.6,41.02,99.62,17.93,117.55
FEE70261,ORD10261,PAY70261,2026-04-07,14.23,6.17,20.4,3.67,24.07
FEE70262,ORD10262,PAY70262,2026-04-07,33.92,14.7,48.62,8.75,57.37
FEE70263,ORD10263,PAY70263,2026-04-07,98.32,68.82,167.14,30.09,197.23
FEE70264,ORD10264,PAY70264,2026-04-07,93.91,65.74,159.65,28.74,188.39
FEE70265,ORD10265,PAY70265,2026-04-07,21.76,2.9,24.66,4.44,29.1
FEE70266,ORD10266,PAY70266,2026-04-08,261.81,152.72,414.53,74.62,489.15
FEE70267,ORD10267,PAY70267,2026-04-08,366.01,213.5,579.51,104.31,683.82
FEE70268,ORD10268,PAY70268,2026-04-08,153.21,17.02,170.23,30.64,200.87
FEE70269,ORD10269,PAY70269,2026-04-08,313.25,182.73,495.98,89.28,585.26
FEE70270,ORD10270,PAY70270,2026-04-08,315.06,131.27,446.33,80.34,526.67
FEE70271,ORD10271,PAY70271,2026-04-07,45.9,6.56,52.46,9.44,61.9
FEE70272,ORD10272,PAY70272,2026-04-07,29.65,4.24,33.89,6.1,39.99
FEE70273,ORD10273,PAY70273,2026-04-07,35.01,5.0,40.01,7.2,47.21
FEE70274,ORD10274,PAY70274,2026-04-07,20.43,15.32,35.75,6.43,42.18
FEE70275,ORD10275,PAY70275,2026-04-08,27.07,14.21,41.28,7.43,48.71
FEE70276,ORD10276,PAY70276,2026-04-08,133.8,13.38,147.18,26.49,173.67
FEE70277,ORD10277,PAY70277,2026-04-08,92.83,48.74,141.57,25.48,167.05
FEE70278,ORD10278,PAY70278,2026-04-08,46.51,24.42,70.93,12.77,83.7
FEE70280,ORD10280,PAY70280,2026-04-08,93.85,30.5,124.35,22.38,146.73
FEE70281,ORD10281,PAY70281,2026-04-09,99.63,65.38,165.01,29.7,194.71
FEE70282,ORD10282,PAY70282,2026-04-09,173.67,113.97,287.64,51.78,339.42
FEE70283,ORD10283,PAY70283,2026-04-09,73.23,9.15,82.38,14.83,97.21
FEE70284,ORD10284,PAY70284,2026-04-09,277.13,112.58,389.71,70.15,459.86
FEE70285,ORD10285,PAY70285,2026-04-09,149.51,98.12,247.63,44.57,292.2
FEE70286,ORD10286,PAY70286,2026-04-09,267.29,33.41,300.7,54.13,354.83
FEE70287,ORD10287,PAY70287,2026-04-09,51.5,6.44,57.94,10.43,68.37
FEE70288,ORD10288,PAY70288,2026-04-09,82.19,10.27,92.46,16.64,109.1
FEE70289,ORD10289,PAY70289,2026-04-09,80.83,32.84,113.67,20.46,134.13
FEE70290,ORD10290,PAY70290,2026-04-09,41.99,5.25,47.24,8.5,55.74
FEE70291,ORD10291,PAY70291,2026-04-07,4.63,0.77,5.4,0.97,6.37
FEE70292,ORD10292,PAY70292,2026-04-07,6.8,3.68,10.48,1.89,12.37
FEE70293,ORD10293,PAY70293,2026-04-07,49.06,42.93,91.99,16.56,108.55
FEE70294,ORD10294,PAY70294,2026-04-07,34.44,30.14,64.58,11.62,76.2
FEE70295,ORD10295,PAY70295,2026-04-09,218.57,74.51,293.08,52.75,345.83
FEE70296,ORD10296,PAY70296,2026-04-09,360.46,122.88,483.34,87.0,570.34
FEE70297,ORD10297,PAY70297,2026-04-09,278.99,25.36,304.35,54.78,359.13
FEE70298,ORD10298,PAY70298,2026-04-08,33.44,20.65,54.09,9.74,63.83
FEE70299,ORD10299,PAY70299,2026-04-08,85.54,10.06,95.6,17.21,112.81
FEE70300,ORD10300,PAY70300,2026-04-08,14.12,1.66,15.78,2.84,18.62
FEE70301,ORD10301,PAY70301,2026-04-08,101.38,11.93,113.31,20.4,133.71
FEE70302,ORD10302,PAY70302,2026-04-08,41.25,25.48,66.73,12.01,78.74
FEE70303,ORD10303,PAY70303,2026-04-08,34.43,4.05,38.48,6.93,45.41
FEE70304,ORD10304,PAY70304,2026-04-08,43.7,16.71,60.41,10.87,71.28
FEE70305,ORD10305,PAY70305,2026-04-08,45.61,5.37,50.98,9.18,60.16
FEE70306,ORD10306,PAY70306,2026-04-08,141.62,62.48,204.1,36.74,240.84
FEE70307,ORD10307,PAY70307,2026-04-08,143.31,19.11,162.42,29.24,191.66
FEE70308,ORD10308,PAY70308,2026-04-08,109.21,14.56,123.77,22.28,146.05
FEE70309,ORD10309,PAY70309,2026-04-08,66.21,46.34,112.55,20.26,132.81
FEE70310,ORD10310,PAY70310,2026-04-09,198.9,22.1,221.0,39.78,260.78
FEE70311,ORD10311,PAY70311,2026-04-09,160.51,17.83,178.34,32.1,210.44
FEE70312,ORD10312,PAY70312,2026-04-09,303.24,176.89,480.13,86.42,566.55
FEE70313,ORD10313,PAY70313,2026-04-09,328.01,36.45,364.46,65.6,430.06
FEE70314,ORD10314,PAY70314,2026-04-09,209.59,75.68,285.27,51.35,336.62
FEE70316,ORD10316,PAY70316,2026-04-08,6.18,4.64,10.82,1.95,12.77
FEE70317,ORD10317,PAY70317,2026-04-08,7.38,1.05,8.43,1.52,9.95
FEE70318,ORD10318,PAY70318,2026-04-08,43.27,6.18,49.45,8.9,58.35
FEE70319,ORD10319,PAY70319,2026-04-08,3.92,2.1,6.02,1.08,7.1
FEE70320,ORD10320,PAY70320,2026-04-08,16.68,8.94,25.62,4.61,30.23
FEE70321,ORD10321,PAY70321,2026-04-09,111.66,11.17,122.83,22.11,144.94
FEE70322,ORD10322,PAY70322,2026-04-09,18.35,9.63,27.98,5.04,33.02
FEE70323,ORD10323,PAY70323,2026-04-09,70.72,37.13,107.85,19.41,127.26
FEE70324,ORD10324,PAY70324,2026-04-09,108.53,10.85,119.38,21.49,140.87
FEE70325,ORD10325,PAY70325,2026-04-09,155.28,81.52,236.8,42.62,279.42
FEE70326,ORD10326,PAY70326,2026-04-09,119.0,62.47,181.47,32.66,214.13
FEE70327,ORD10327,PAY70327,2026-04-09,161.92,60.72,222.64,40.08,262.72
FEE70329,ORD10329,PAY70329,2026-04-09,58.64,5.86,64.5,11.61,76.11
FEE70330,ORD10330,PAY70330,2026-04-09,39.59,20.78,60.37,10.87,71.24
FEE70331,ORD10331,PAY70331,2026-04-10,287.29,35.91,323.2,58.18,381.38
FEE70332,ORD10332,PAY70332,2026-04-10,200.16,131.36,331.52,59.67,391.19
FEE70333,ORD10333,PAY70333,2026-04-10,90.25,59.23,149.48,26.91,176.39
FEE70334,ORD10334,PAY70334,2026-04-10,70.52,33.06,103.58,18.64,122.22
FEE70335,ORD10335,PAY70335,2026-04-10,140.21,17.53,157.74,28.39,186.13
FEE70337,ORD10337,PAY70337,2026-04-08,39.57,34.62,74.19,13.35,87.54
