merchant_id,settlement_date,merchant_name,category,settlement_tplus_days,gross_captured_amount,captured_transaction_count,refund_adjustment_amount,refund_count,chargeback_amount,chargeback_count,platform_fee,gateway_fee,gst_on_fees,failed_payment_count,failed_payment_amount,settlement_id,actual_settlement_amount,settlement_status,processor_adjustment_code,processor_note,payout_status,bank_reference,expected_settlement_amount,variance_amount,absolute_variance,exception_flag,exception_type,risk_priority,investigation_memo
M006,2026-04-26,TravelNest,Travel,3,58268.85,6.0,0.0,0.0,0.0,0.0,1281.92,246.06,275.04,0.0,0.0,SET50215,56463.9,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR409432946651,56465.83,-1.93,1.93,False,Matched,Normal,"TravelNest settlement for 2026-04-26 matched within tolerance. Expected INR 56,465.83 and received INR 56,463.90."
M001,2026-04-04,Apex Electronics,Electronics,2,89619.96,7.0,0.0,0.0,0.0,0.0,1613.16,346.7,352.77,0.0,0.0,SET50002,87309.25,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR860132556081,87307.33,1.92,1.92,False,Matched,Normal,"Apex Electronics settlement for 2026-04-04 matched within tolerance. Expected INR 87,307.33 and received INR 87,309.25."
M006,2026-04-04,TravelNest,Travel,3,38139.58,3.0,0.0,0.0,0.0,0.0,839.08,76.28,164.76,2.0,28788.53,SET50193,37057.57,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR310870421834,37059.46,-1.89,1.89,False,Matched,Normal,"TravelNest settlement for 2026-04-04 matched within tolerance. Expected INR 37,059.46 and received INR 37,057.57."
M002,2026-04-17,FreshBasket Foods,Grocery,1,7963.8,4.0,0.0,0.0,0.0,0.0,111.48,48.11,28.73,0.0,0.0,SET50053,7777.35,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR436706723784,7775.48,1.87,1.87,False,Matched,Normal,"FreshBasket Foods settlement for 2026-04-17 matched within tolerance. Expected INR 7,775.48 and received INR 7,777.35."
M002,2026-04-23,FreshBasket Foods,Grocery,1,14114.92,7.0,2765.53,2.0,0.0,0.0,197.61,90.49,51.87,0.0,0.0,SET50059,11007.55,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR487596162192,11009.42,-1.87,1.87,False,Matched,Normal,"FreshBasket Foods settlement for 2026-04-23 matched within tolerance. Expected INR 11,009.42 and received INR 11,007.55."
M002,2026-04-25,FreshBasket Foods,Grocery,1,5418.51,3.0,1226.64,1.0,0.0,0.0,75.86,10.84,15.61,2.0,3456.8599999999997,SET50061,4087.71,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR400540557711,4089.56,-1.85,1.85,False,Matched,Normal,"FreshBasket Foods settlement for 2026-04-25 matched within tolerance. Expected INR 4,089.56 and received INR 4,087.71."
M001,2026-04-10,Apex Electronics,Electronics,2,93858.67,6.0,560.41,1.0,0.0,0.0,1689.46,500.08,394.11,3.0,32017.8,SET50008,90716.44,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR512562360352,90714.61,1.83,1.83,False,Matched,Normal,"Apex Electronics settlement for 2026-04-10 matched within tolerance. Expected INR 90,714.61 and received INR 90,716.44."
M004,2026-04-29,SkillBridge Learning,EdTech,3,30945.05,7.0,9593.92,1.0,0.0,0.0,495.12,125.33,111.69,0.0,0.0,SET50139,20620.82,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR798542900361,20618.99,1.83,1.83,False,Matched,Normal,"SkillBridge Learning settlement for 2026-04-29 matched within tolerance. Expected INR 20,618.99 and received INR 20,620.82."
M006,2026-04-17,TravelNest,Travel,3,79502.82,7.0,0.0,0.0,0.0,0.0,1749.06,418.93,390.23,1.0,17945.93,SET50206,76942.77,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR723533307650,76944.6,-1.83,1.83,False,Matched,Normal,"TravelNest settlement for 2026-04-17 matched within tolerance. Expected INR 76,944.60 and received INR 76,942.77."
M007,2026-04-23,HomeEase Services,Home Services,2,50503.03,9.0,9370.29,1.0,0.0,0.0,858.55,220.34,194.19,1.0,3089.58,SET50250,39861.49,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR862370301383,39859.66,1.83,1.83,False,Matched,Normal,"HomeEase Services settlement for 2026-04-23 matched within tolerance. Expected INR 39,859.66 and received INR 39,861.49."
M005,2026-05-16,MediQuick Pharmacy,Healthcare,1,0.0,0.0,288.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SET50191,-286.18,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR514169986141,-288.0,1.82,1.82,False,Matched,Normal,MediQuick Pharmacy settlement for 2026-05-16 matched within tolerance. Expected INR -288.00 and received INR -286.18.
M003,2026-04-07,UrbanStyle Apparel,Apparel,2,19397.04,6.0,0.0,0.0,0.0,0.0,387.94,173.53,101.07,2.0,7889.85,SET50080,18732.69,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR561711150101,18734.5,-1.81,1.81,False,Matched,Normal,"UrbanStyle Apparel settlement for 2026-04-07 matched within tolerance. Expected INR 18,734.50 and received INR 18,732.69."
M002,2026-04-29,FreshBasket Foods,Grocery,1,11314.63,5.0,0.0,0.0,0.0,0.0,158.4,49.88,37.49,0.0,0.0,SET50065,11067.06,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR613650448157,11068.86,-1.8,1.8,False,Matched,Normal,"FreshBasket Foods settlement for 2026-04-29 matched within tolerance. Expected INR 11,068.86 and received INR 11,067.06."
M004,2026-05-02,SkillBridge Learning,EdTech,3,67023.32,7.0,0.0,0.0,936.17,1.0,1072.37,287.39,244.76,2.0,16830.28,SET50142,64480.83,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR695453487549,64482.63,-1.8,1.8,False,Matched,Normal,"SkillBridge Learning settlement for 2026-05-02 matched within tolerance. Expected INR 64,482.63 and received INR 64,480.83."
M005,2026-04-04,MediQuick Pharmacy,Healthcare,1,27917.17,9.0,0.0,0.0,0.0,0.0,335.01,182.16,93.08,0.0,0.0,SET50155,27305.12,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR636116626269,27306.92,-1.8,1.8,False,Matched,Normal,"MediQuick Pharmacy settlement for 2026-04-04 matched within tolerance. Expected INR 27,306.92 and received INR 27,305.12."
M006,2026-04-09,TravelNest,Travel,3,39000.86,3.0,0.0,0.0,0.0,0.0,858.02,222.75,194.53,0.0,0.0,SET50198,37727.36,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR184963519676,37725.56,1.8,1.8,False,Matched,Normal,"TravelNest settlement for 2026-04-09 matched within tolerance. Expected INR 37,725.56 and received INR 37,727.36."
M004,2026-04-20,SkillBridge Learning,EdTech,3,30792.92,4.0,0.0,0.0,0.0,0.0,492.69,184.44,121.88,0.0,0.0,SET50130,29995.68,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR357312500811,29993.91,1.77,1.77,False,Matched,Normal,"SkillBridge Learning settlement for 2026-04-20 matched within tolerance. Expected INR 29,993.91 and received INR 29,995.68."
M004,2026-04-27,SkillBridge Learning,EdTech,3,78084.05,7.0,0.0,0.0,0.0,0.0,1249.34,537.16,321.56,1.0,12070.69,SET50137,75974.22,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR826961626902,75975.99,-1.77,1.77,False,Matched,Normal,"SkillBridge Learning settlement for 2026-04-27 matched within tolerance. Expected INR 75,975.99 and received INR 75,974.22."
M001,2026-04-26,Apex Electronics,Electronics,2,91143.5,8.0,9861.52,1.0,0.0,0.0,1640.59,606.13,404.41,0.0,0.0,SET50024,78632.6,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR196071063031,78630.85,1.75,1.75,False,Matched,Normal,"Apex Electronics settlement for 2026-04-26 matched within tolerance. Expected INR 78,630.85 and received INR 78,632.60."
M007,2026-05-07,HomeEase Services,Home Services,2,45040.69,6.0,0.0,0.0,0.0,0.0,765.69,316.21,194.74,0.0,0.0,SET50264,43762.3,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR781070549034,43764.05,-1.75,1.75,False,Matched,Normal,"HomeEase Services settlement for 2026-05-07 matched within tolerance. Expected INR 43,764.05 and received INR 43,762.30."
M002,2026-04-08,FreshBasket Foods,Grocery,1,5531.02,5.0,0.0,0.0,0.0,0.0,77.43,22.91,18.06,0.0,0.0,SET50044,5414.36,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR225425995660,5412.62,1.74,1.74,False,Matched,Normal,"FreshBasket Foods settlement for 2026-04-08 matched within tolerance. Expected INR 5,412.62 and received INR 5,414.36."
M005,2026-04-06,MediQuick Pharmacy,Healthcare,1,7000.09,3.0,0.0,0.0,0.0,0.0,84.0,43.79,23.0,0.0,0.0,SET50157,6851.03,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR213183219218,6849.3,1.73,1.73,False,Matched,Normal,"MediQuick Pharmacy settlement for 2026-04-06 matched within tolerance. Expected INR 6,849.30 and received INR 6,851.03."
M001,2026-05-05,Apex Electronics,Electronics,2,96112.62,7.0,0.0,0.0,3267.95,1.0,1730.04,622.12,423.39,1.0,18110.34,SET50033,90067.4,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR246441608588,90069.12,-1.72,1.72,False,Matched,Normal,"Apex Electronics settlement for 2026-05-05 matched within tolerance. Expected INR 90,069.12 and received INR 90,067.40."
M001,2026-05-07,Apex Electronics,Electronics,2,38406.65,3.0,0.0,0.0,0.0,0.0,691.32,118.61,145.79,0.0,0.0,SET50035,37449.22,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR368742862368,37450.93,-1.71,1.71,False,Matched,Normal,"Apex Electronics settlement for 2026-05-07 matched within tolerance. Expected INR 37,450.93 and received INR 37,449.22."
M006,2026-04-18,TravelNest,Travel,3,67511.63,7.0,28676.7,2.0,0.0,0.0,1485.25,373.92,334.65,1.0,5682.4,SET50207,36642.82,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR801979093477,36641.11,1.71,1.71,False,Matched,Normal,"TravelNest settlement for 2026-04-18 matched within tolerance. Expected INR 36,641.11 and received INR 36,642.82."
M008,2026-04-04,FinEdge SaaS,SaaS,2,24912.88,5.0,0.0,0.0,0.0,0.0,373.69,129.95,90.65,1.0,9885.4,SET50269,24316.89,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR769167620112,24318.59,-1.7,1.7,False,Matched,Normal,"FinEdge SaaS settlement for 2026-04-04 matched within tolerance. Expected INR 24,318.59 and received INR 24,316.89."
M008,2026-04-22,FinEdge SaaS,SaaS,2,36728.05,6.0,0.0,0.0,0.0,0.0,550.92,185.39,132.53,0.0,0.0,SET50287,35860.91,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR507112660525,35859.21,1.7,1.7,False,Matched,Normal,"FinEdge SaaS settlement for 2026-04-22 matched within tolerance. Expected INR 35,859.21 and received INR 35,860.91."
M005,2026-05-18,MediQuick Pharmacy,Healthcare,1,0.0,0.0,6168.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SET50192,-6170.48,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR665318638093,-6168.78,-1.7,1.7,False,Matched,Normal,"MediQuick Pharmacy settlement for 2026-05-18 matched within tolerance. Expected INR -6,168.78 and received INR -6,170.48."
M002,2026-04-20,FreshBasket Foods,Grocery,1,410.66,1.0,0.0,0.0,0.0,0.0,5.75,4.31,1.81,2.0,1227.92,SET50056,400.48,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR995156180105,398.79,1.69,1.69,False,Matched,Normal,FreshBasket Foods settlement for 2026-04-20 matched within tolerance. Expected INR 398.79 and received INR 400.48.
M001,2026-04-06,Apex Electronics,Electronics,2,115990.16,9.0,0.0,0.0,0.0,0.0,2087.83,409.37,449.52,1.0,10500.3,SET50004,113045.12,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR218690306416,113043.44,1.68,1.68,False,Matched,Normal,"Apex Electronics settlement for 2026-04-06 matched within tolerance. Expected INR 113,043.44 and received INR 113,045.12."
M003,2026-04-26,UrbanStyle Apparel,Apparel,2,16636.27,4.0,0.0,0.0,0.0,0.0,332.73,84.42,75.09,0.0,0.0,SET50099,16142.35,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR177070533133,16144.03,-1.68,1.68,False,Matched,Normal,"UrbanStyle Apparel settlement for 2026-04-26 matched within tolerance. Expected INR 16,144.03 and received INR 16,142.35."
M002,2026-05-04,FreshBasket Foods,Grocery,1,18150.1,8.0,1645.41,1.0,0.0,0.0,254.1,68.47,58.07,1.0,2111.64,SET50070,16125.71,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR532124064444,16124.05,1.66,1.66,False,Matched,Normal,"FreshBasket Foods settlement for 2026-05-04 matched within tolerance. Expected INR 16,124.05 and received INR 16,125.71."
M006,2026-04-11,TravelNest,Travel,3,92516.78,8.0,10527.22,1.0,0.0,0.0,2035.37,470.01,450.96,0.0,0.0,SET50200,79034.87,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR511076597561,79033.22,1.65,1.65,False,Matched,Normal,"TravelNest settlement for 2026-04-11 matched within tolerance. Expected INR 79,033.22 and received INR 79,034.87."
M008,2026-05-01,FinEdge SaaS,SaaS,2,31710.81,4.0,0.0,0.0,0.0,0.0,475.66,169.85,116.19,0.0,0.0,SET50296,30950.76,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR617675927893,30949.11,1.65,1.65,False,Matched,Normal,"FinEdge SaaS settlement for 2026-05-01 matched within tolerance. Expected INR 30,949.11 and received INR 30,950.76."
M004,2026-04-04,SkillBridge Learning,EdTech,3,24740.48,5.0,0.0,0.0,0.0,0.0,395.84,180.22,103.69,0.0,0.0,SET50114,24059.09,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR169948036562,24060.73,-1.64,1.64,False,Matched,Normal,"SkillBridge Learning settlement for 2026-04-04 matched within tolerance. Expected INR 24,060.73 and received INR 24,059.09."
M008,2026-05-18,FinEdge SaaS,SaaS,2,0.0,0.0,5986.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SET50306,-5985.16,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR627732263961,-5986.8,1.64,1.64,False,Matched,Normal,"FinEdge SaaS settlement for 2026-05-18 matched within tolerance. Expected INR -5,986.80 and received INR -5,985.16."
M008,2026-04-27,FinEdge SaaS,SaaS,2,40993.95,9.0,0.0,0.0,0.0,0.0,614.91,292.4,163.33,1.0,3848.88,SET50292,39921.7,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR721770621957,39923.31,-1.61,1.61,False,Matched,Normal,"FinEdge SaaS settlement for 2026-04-27 matched within tolerance. Expected INR 39,923.31 and received INR 39,921.70."
M004,2026-05-18,SkillBridge Learning,EdTech,3,0.0,0.0,2909.91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SET50152,-2911.51,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR229051510605,-2909.91,-1.6,1.6,False,Matched,Normal,"SkillBridge Learning settlement for 2026-05-18 matched within tolerance. Expected INR -2,909.91 and received INR -2,911.51."
M003,2026-05-09,UrbanStyle Apparel,Apparel,2,0.0,0.0,7742.61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SET50112,-7741.02,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR926271946306,-7742.61,1.59,1.59,False,Matched,Normal,"UrbanStyle Apparel settlement for 2026-05-09 matched within tolerance. Expected INR -7,742.61 and received INR -7,741.02."
M008,2026-04-16,FinEdge SaaS,SaaS,2,18717.61,3.0,0.0,0.0,0.0,0.0,280.76,90.44,66.82,0.0,0.0,SET50281,18278.01,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR709887695781,18279.59,-1.58,1.58,False,Matched,Normal,"FinEdge SaaS settlement for 2026-04-16 matched within tolerance. Expected INR 18,279.59 and received INR 18,278.01."
M007,2026-04-08,HomeEase Services,Home Services,2,31829.28,9.0,0.0,0.0,0.0,0.0,541.09,158.39,125.92,0.0,0.0,SET50235,31005.45,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR994274425789,31003.88,1.57,1.57,False,Matched,Normal,"HomeEase Services settlement for 2026-04-08 matched within tolerance. Expected INR 31,003.88 and received INR 31,005.45."
M002,2026-04-27,FreshBasket Foods,Grocery,1,6771.87,4.0,0.0,0.0,0.0,0.0,94.81,33.4,23.08,0.0,0.0,SET50063,6619.02,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR723360185350,6620.58,-1.56,1.56,False,Matched,Normal,"FreshBasket Foods settlement for 2026-04-27 matched within tolerance. Expected INR 6,620.58 and received INR 6,619.02."
M002,2026-05-01,FreshBasket Foods,Grocery,1,6242.84,3.0,0.0,0.0,0.0,0.0,87.41,48.32,24.44,0.0,0.0,SET50067,6081.11,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR552958729514,6082.67,-1.56,1.56,False,Matched,Normal,"FreshBasket Foods settlement for 2026-05-01 matched within tolerance. Expected INR 6,082.67 and received INR 6,081.11."
M005,2026-04-09,MediQuick Pharmacy,Healthcare,1,13179.44,4.0,0.0,0.0,0.0,0.0,158.16,51.55,37.75,0.0,0.0,SET50160,12930.42,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR289720145081,12931.98,-1.56,1.56,False,Matched,Normal,"MediQuick Pharmacy settlement for 2026-04-09 matched within tolerance. Expected INR 12,931.98 and received INR 12,930.42."
